targetLearning,Textarea,Inhaltliches Ziel,,,,,,,,,,,,,,,,,,,,,,,,,
schedule,Textarea,Programm,,,,,,,,,,,,,,,,,,,,,,,,,
code,Text,Veranstaltungs-Nr.,,,,,,,,,,,,,,,,,,,,,,,,,
trainer,Text,Trainer / Trainerin,,,,,,,,,,,,,,,,,,,,,,,,,
eligibility,Bool,Förderfähig,1 = „Ja“ oder 0 = „Nein“,,,,,,,,,,,,,,,,,,,,,,,,
onlineEvent,Bool,Online Event,1 = „Ja“ oder 0 = „Nein“,,,,,,,,,,,,,,,,,,,,,,,,
categories,Zahl,(Kommaseparierte Zahlen-Liste),ID (eine oder mehrere) der entsprechenden Kategorie/n,,,,,,,,,,,,,,,,,,,,,,,,
isAnnouncement,Bool,Veranstaltungs-Typ,1 = „Ankündigung“ oder 0 = „Standard“,,,,,,,,,,,,,,,,,,,,,,,,
contact1Email,Text,Ansprechpartner,"E-Mail Adresse des gewünschten Ansprechpartners, dessen Datensatz bereits angelegt ist",,,,,,,,,,,,,,,,,,,,,,,,
contact2Email,Text,Ansprechpartner,"E-Mail Adresse des gewünschten Ansprechpartners, dessen Datensatz bereits angelegt ist",,,,,,,,,,,,,,,,,,,,,,,,
contact3Email,Text,Ansprechpartner,"E-Mail Adresse des gewünschten Ansprechpartners, dessen Datensatz bereits angelegt ist",,,,,,,,,,,,,,,,,,,,,,,,
contact4Email,Text,Ansprechpartner,"E-Mail Adresse des gewünschten Ansprechpartners, dessen Datensatz bereits angelegt ist",,,,,,,,,,,,,,,,,,,,,,,,
contact5Email,Text,Ansprechpartner,"E-Mail Adresse des gewünschten Ansprechpartners, dessen Datensatz bereits angelegt ist",,,,,,,,,,,,,,,,,,,,,,,,
contact6Email,Text,Ansprechpartner,"E-Mail Adresse des gewünschten Ansprechpartners, dessen Datensatz bereits angelegt ist",,,,,,,,,,,,,,,,,,,,,,,,
contact7Email,Text,Ansprechpartner,"E-Mail Adresse des gewünschten Ansprechpartners, dessen Datensatz bereits angelegt ist",,,,,,,,,,,,,,,,,,,,,,,,
contact8Email,Text,Ansprechpartner,"E-Mail Adresse des gewünschten Ansprechpartners, dessen Datensatz bereits angelegt ist",,,,,,,,,,,,,,,,,,,,,,,,
contact9Email,Text,Ansprechpartner,"E-Mail Adresse des gewünschten Ansprechpartners, dessen Datensatz bereits angelegt ist",,,,,,,,,,,,,,,,,,,,,,,,
contact10Email,Text,Ansprechpartner,"E-Mail Adresse des gewünschten Ansprechpartners, dessen Datensatz bereits angelegt ist",,,,,,,,,,,,,,,,,,,,,,,,
